category,model,model_description,model_name,manufacturer,weight,price
DC_Converters," 1KWDC144
","  DC/DC Converter 1000W Isolated
100-200 V olts
The High Efficiency Series
DC/DC Converter is spec ...
",DC/DC Converter 1000W Isolated," : Elcon
",: 6.00,$549.00
DC_Converters," 1KWDC320
","  DC/DC Converter 1000W Isolated
220-450 V olts
The High Efficiency Series
DC/DC Converter is spec ...
",DC/DC Converter 1000W Isolated," : Elcon
",: 6.00,$549.00
DC_Converters," 1KWDC108
","  DC/DC Converter 1000W Isolated
74-162 V olts
The High Efficiency Series
DC/DC Converter is spec ...
",DC/DC Converter 1000W Isolated," : Elcon
",: 6.00,$549.00
