category,model,model_description,model_name,manufacturer,weight,price
Controllers," Controller
","  Cascadia Rinehart PM100DX/DZ
100KW AC Motor Controller
This product is no longer
available through EV Wes ...
",Cascadia Rinehart PM100DX/DZ," : Rinehart
Motion
Systems
",: 20.00,"$6,240.00"
Controllers," Controller
","  Cascadia Rinehart PM150DX/DZ
150KW AC Motor Controller
This product is no longer
available through EV Wes ...
",Cascadia Rinehart PM150DX/DZ," : Rinehart
Motion
Systems
",: 25.00,"$9,360.00"
Controllers," EVC-T2-C
","  EV Controls T2-C T esla Drive Unit
Controller
The T2C is a controller that
allows you to install ...
",EV Controls T2-C T esla Drive Unit," : Tesla
",: 3.00,"$2,699.00"
Controllers,"
","  HPEVS Curtis 1236e-5621 48V 550
AMP  Controller - Replaces 1238-
5601
Curtis 1236e-5621 AC controller
that operates at 3 ...
",HPEVS Curtis 1236e-5621 48V 550," : Curtis
",: 9.00,"$1,088.00"
Controllers,"
","  HPEVS Curtis 1238e-6521 72V 550
AMP  Controller
Curtis 1238e-6521 AC controller
that operates at 4 ...
",HPEVS Curtis 1238e-6521 72V 550," : Curtis
",: 20.00,"$1,535.00"
Controllers," Curtis 1239
","  HPEVS Curtis 1239e-8521 144V 500
AMP  Controller
Curtis 1239-8501 AC controller
that operates at 12 ...
",HPEVS Curtis 1239e-8521 144V 500," : Curtis
",: 20.00,"$2,740.00"
Controllers," Zilla 1K
","  Manzanita Micro Zilla 1K Series DC
Motor Controller
This product is no longer
available through EV Wes ...
",Manzanita Micro Zilla 1K Series DC," : Manzanita
",: 20.00,"$2,600.00"
Controllers," Zilla 2K
","  Manzanita Micro Zilla 2K Series DC
Motor Controller
This product is no longer
available through EV Wes ...
",Manzanita Micro Zilla 2K Series DC," : Manzanita
",: 35.00,"$4,600.00"
Controllers," NGM-
ACX120
","  NetGain SME AC-X1 Inverter -
SRIPM Motor Inverter for Hyper9
Systems
Equipped with the latest
technology in power elect ...
",NetGain SME AC-X1 Inverter -," : NetGain
Motors
",: 11.00,"$2,050.00"
